image_file,species,subset,class
anthyllis vulneraria l/14413330956131AZTkEoQADMDTjWW.jpg,anthyllis vulneraria l,train,0
anthyllis vulneraria l/14413493492688YmLNIuVQPbtWl3L.jpg,anthyllis vulneraria l,train,0
anthyllis vulneraria l/1441332328530PXaOju3VrzEjO5dI.jpg,anthyllis vulneraria l,train,0
anthyllis vulneraria l/1441351115946YcIMZvS5Rq3Yhq6y.jpg,anthyllis vulneraria l,train,0
anthyllis vulneraria l/1441331849472i8MobqUYeldjF7YJ.jpg,anthyllis vulneraria l,train,0
anthyllis vulneraria l/1441332813685ta3ZB8MBwrwCOBBL.jpg,anthyllis vulneraria l,valid,0
anthyllis vulneraria l/1441332814921rNYCv9ogZXb5y82g.jpg,anthyllis vulneraria l,train,0
anthyllis vulneraria l/1441348576124oIPs1TrQLLdGOgNF.jpg,anthyllis vulneraria l,valid,0
anthyllis vulneraria l/1441349163057z6GhEKp67jtzKKbg.jpg,anthyllis vulneraria l,valid,0
anthyllis vulneraria l/1441332055517zBAlwq9v2C2L1lh0.jpg,anthyllis vulneraria l,train,0
anthyllis vulneraria l/1441331827148KuEJeAyHMyBKwvKX.jpg,anthyllis vulneraria l,train,0
anthyllis vulneraria l/1441348630307TXRy21KYWrZqOkMM.jpg,anthyllis vulneraria l,train,0
anthyllis vulneraria l/1441332349876yJi0MdbSXb7jYsz1.jpg,anthyllis vulneraria l,train,0
anthyllis vulneraria l/1441331102796BJWXQSy0FLvyrdIR.jpg,anthyllis vulneraria l,train,0
anthyllis vulneraria l/1441348630190MPDyf9Fv9R9a7Vm8.jpg,anthyllis vulneraria l,train,0
anthyllis vulneraria l/14413486823589rvg0g5zDVGxLFvs.jpg,anthyllis vulneraria l,train,0
anthyllis vulneraria l/1441349162732FPZf0eVExwG7NklT.jpg,anthyllis vulneraria l,train,0
anthyllis vulneraria l/14413490900056ePOj9P6SK1vGYzN.jpg,anthyllis vulneraria l,train,0
anthyllis vulneraria l/1441332243763kqjtHJFIu1afteDn.jpg,anthyllis vulneraria l,train,0
anthyllis vulneraria l/1441331849624N1YFSbitBbSbQPNV.jpg,anthyllis vulneraria l,valid,0
anthyllis vulneraria l/14413499354531hpsK678Gz8j7jAy.jpg,anthyllis vulneraria l,train,0
anthyllis vulneraria l/1441351096209O2Umdm0IhJMh5Xt6.jpg,anthyllis vulneraria l,train,0
anthyllis vulneraria l/1441332813117QEAnNAd2FhnTe7m3.jpg,anthyllis vulneraria l,train,0
anthyllis vulneraria l/1441348509236QuHWMzg0XKnDXxdD.jpg,anthyllis vulneraria l,train,0
anthyllis vulneraria l/1441349635747rGoZeTfUZXj2ByAb.jpg,anthyllis vulneraria l,train,0
anthyllis vulneraria l/1441331828132gWIk8xgOaFCSwFHK.jpg,anthyllis vulneraria l,train,0
anthyllis vulneraria l/1441333117826ffzJb0eM2d5nWPf5.jpg,anthyllis vulneraria l,train,0
