image_file,species,subset,class
dryopteris filix-mas (l.) schott/14412996201024scz7J7ftiO61Lxg.jpg,dryopteris filix-mas (l.) schott,train,0
dryopteris filix-mas (l.) schott/14412997243680AS7Xye2cYx3V2ax.jpg,dryopteris filix-mas (l.) schott,train,0
dryopteris filix-mas (l.) schott/1441299607653xsVPhv574xRnOVln.jpg,dryopteris filix-mas (l.) schott,train,0
dryopteris filix-mas (l.) schott/1441299433464mkqdESqVLE733yS7.jpg,dryopteris filix-mas (l.) schott,valid,0
dryopteris filix-mas (l.) schott/1441299569164fa1NA6lzyyaXx02N.jpg,dryopteris filix-mas (l.) schott,train,0
dryopteris filix-mas (l.) schott/1441299723732n2lec5tU6Xsgcfq0.jpg,dryopteris filix-mas (l.) schott,valid,0
dryopteris filix-mas (l.) schott/1441299719173sgEoQoVOhrSTBYPA.jpg,dryopteris filix-mas (l.) schott,train,0
dryopteris filix-mas (l.) schott/1441299743828Ma1hu5tCDDNKXlKR.jpg,dryopteris filix-mas (l.) schott,train,0
dryopteris filix-mas (l.) schott/1441299609515R533IaP7Nqa3GYRT.jpg,dryopteris filix-mas (l.) schott,train,0
dryopteris filix-mas (l.) schott/1441299633888mpwWrxjdvFycWq2H.jpg,dryopteris filix-mas (l.) schott,train,0
dryopteris filix-mas (l.) schott/1441299610709yHDZMOwU6pmVIK6v.jpg,dryopteris filix-mas (l.) schott,train,0
dryopteris filix-mas (l.) schott/1441299179492R9aDJF1nmukjWtdC.jpg,dryopteris filix-mas (l.) schott,train,0
dryopteris filix-mas (l.) schott/1441453774931fM2wgdvmPXWMXr1f.jpg,dryopteris filix-mas (l.) schott,train,0
dryopteris filix-mas (l.) schott/1441299766710TKKMC3c0DNH9FQTc.jpg,dryopteris filix-mas (l.) schott,train,0
dryopteris filix-mas (l.) schott/1441296753392biwL06qfTQAGf2Yr.jpg,dryopteris filix-mas (l.) schott,train,0
dryopteris filix-mas (l.) schott/1441299975715ns3ig8hKL4ibyJOT.jpg,dryopteris filix-mas (l.) schott,train,0
dryopteris filix-mas (l.) schott/1441299673060LTcdPScvHs03M2Jm.jpg,dryopteris filix-mas (l.) schott,train,0
dryopteris filix-mas (l.) schott/1441299225041qrGAc2t5ZNE8v3qJ.jpg,dryopteris filix-mas (l.) schott,train,0
dryopteris filix-mas (l.) schott/1441299225483AFJeB9UeGVuajKlf.jpg,dryopteris filix-mas (l.) schott,train,0
dryopteris filix-mas (l.) schott/1441299795119iW2CILpmvGcX1dYY.jpg,dryopteris filix-mas (l.) schott,train,0
dryopteris filix-mas (l.) schott/1441299483190C3wQpl7pOjIOomfO.jpg,dryopteris filix-mas (l.) schott,train,0
dryopteris filix-mas (l.) schott/1441299670729S3RAmlYGXoKvBlm3.jpg,dryopteris filix-mas (l.) schott,train,0
dryopteris filix-mas (l.) schott/1441299609325XVmtmt9BlVlJe9il.jpg,dryopteris filix-mas (l.) schott,train,0
dryopteris filix-mas (l.) schott/1441299744841MT9wEuNdF0KSzUnD.jpg,dryopteris filix-mas (l.) schott,train,0
dryopteris filix-mas (l.) schott/1441296760266Ia6dIa6v6KRadvV0.jpg,dryopteris filix-mas (l.) schott,train,0
dryopteris filix-mas (l.) schott/1441299992919oNjNS78kLKTSUYym.jpg,dryopteris filix-mas (l.) schott,train,0
dryopteris filix-mas (l.) schott/1441296760208ge7rF997nTZOxJ42.jpg,dryopteris filix-mas (l.) schott,train,0
dryopteris filix-mas (l.) schott/1441300083291euTDSmVOOM0EiB1j.jpg,dryopteris filix-mas (l.) schott,train,0
dryopteris filix-mas (l.) schott/1441299670649ybE1m6JJ3aqxbCJf.jpg,dryopteris filix-mas (l.) schott,train,0
