name,val_loss,val_accuracy,loss,accuracy,runtime,build_fn_params.hidden_activation,build_fn_params.loss,build_fn_params.optimizer,build_fn_params.output_activation,dataset_params.batch_size,dataset_params.color_mode,dataset_params.crop_to_aspect_ratio,dataset_params.image_size.0,dataset_params.image_size.1,dataset_params.interpolation,dataset_params.label_mode,early_stopping_params.patience,fit_params.epochs,lr
edging_rebuttal,0.21925537288188934,0.9330357313156128,0.13975395262241364,0.9491051435470581,2023-10-29 11:01:27,relu,binary_crossentropy,adam,sigmoid,128,grayscale,False,64,64,bilinear,binary,50,10000000000,0.001
jingling_hunchback,0.2366579920053482,0.9040178656578064,0.13107652962207794,0.9496644139289856,2023-10-29 07:44:54,relu,binary_crossentropy,adam,sigmoid,64,rgb,False,64,64,bilinear,binary,50,10000000000,0.001
sequester_observing,0.2538833022117615,0.9151785969734192,0.16607458889484406,0.9351230263710022,2023-10-29 04:34:37,relu,binary_crossentropy,adam,sigmoid,64,grayscale,False,64,64,bilinear,binary,50,10000000000,0.001
abacus_darkness,0.26099255681037903,0.8883928656578064,0.19734562933444977,0.9189038276672363,2023-10-29 14:02:24,relu,binary_crossentropy,adam,sigmoid,128,rgb,False,32,32,bilinear,binary,50,10000000000,0.001
unmanaged_scarring,0.2657083570957184,0.8928571343421936,0.21298567950725555,0.9161073565483093,2023-10-29 01:21:32,swish,binary_crossentropy,adam,sigmoid,32,rgb,False,64,64,bilinear,binary,50,10000000000,0.001
tuition_chirping,0.26571688055992126,0.8883928656578064,0.17014309763908386,0.9379194378852844,2023-10-29 07:28:06,relu,binary_crossentropy,adam,sigmoid,64,rgb,False,32,32,bilinear,binary,50,10000000000,0.001
backtalk_straggler,0.2674378454685211,0.8973214030265808,0.21246518194675446,0.9172259569168091,2023-10-29 19:46:40,swish,binary_crossentropy,adam,sigmoid,32,grayscale,False,64,64,bilinear,binary,50,10000000000,
dominoes_repulsion,0.27287137508392334,0.8839285969734192,0.22307820618152618,0.9149888157844543,2023-10-29 19:37:23,relu,binary_crossentropy,adam,sigmoid,32,grayscale,False,64,64,bilinear,binary,50,10000000000,
unbalance_entrench,0.2826554477214813,0.8973214030265808,0.13236862421035767,0.9597315192222595,2023-10-29 08:07:49,relu,binary_crossentropy,adam,sigmoid,64,rgb,False,128,128,bilinear,binary,50,10000000000,0.001
twig_choking,0.29159197211265564,0.8839285969734192,0.21320270001888275,0.9144295454025269,2023-10-27 15:19:12,relu,binary_crossentropy,adam,sigmoid,32,grayscale,False,64,64,bilinear,binary,50,10000000000,0.001
imminent_uninsured,0.29320240020751953,0.890625,0.19088368117809296,0.9267337918281555,2023-10-30 09:24:51,relu,binary_crossentropy,adam,sigmoid,128,grayscale,False,64,64,bilinear,binary,50,10000000000,
hypnotist_unshackle,0.2973814606666565,0.8861607313156128,0.2057344764471054,0.9267337918281555,2023-10-28 02:41:05,relu,binary_crossentropy,adam,sigmoid,64,rgb,False,256,256,bilinear,binary,50,10000000000,0.001
cleaver_cargo,0.2982613742351532,0.8839285969734192,0.18586425483226776,0.926174521446228,2023-10-29 23:16:36,swish,binary_crossentropy,adam,sigmoid,32,rgb,False,64,64,bilinear,binary,50,10000000000,
monetary_conceal,0.29836127161979675,0.8727678656578064,0.22748643159866333,0.9127516746520996,2023-10-28 01:02:09,swish,binary_crossentropy,adam,sigmoid,64,rgb,False,64,64,bilinear,binary,50,10000000000,0.001
crawlers_exception,0.30126824975013733,0.8950892686843872,0.16627301275730133,0.9373601675033569,2023-10-30 13:14:47,swish,binary_crossentropy,adam,sigmoid,128,rgb,False,64,64,bilinear,binary,50,10000000000,
